cycle,first(COVID_Maths).E,first(COVID_Maths).I,first(COVID_Maths).M
0,0.0,2.0,0.0
1,6.333102732068611,1.333520598814659,0.17706533031666796
2,11.46216410643711,2.0223263034728793,0.44694301738746045
3,18.63348413806839,3.3218874171712915,0.8269492426384023
4,28.201429417649127,5.221169170082301,1.4180305620258031
5,38.86298737835959,7.608622882250812,2.3109644060315957
6,47.73709931131028,10.04842653156933,3.550108968685613
7,51.93978660295109,11.872900237122593,5.078438763290373
8,50.70046558703273,12.578329171149838,6.713962397260331
9,45.514848685149936,12.13134267860254,8.204261068810784
10,38.56247960154004,10.878657199375278,9.329074109751948
11,31.473336682594276,9.25699833896527,9.973411066976078
12,25.09377433944706,7.598679385744048,10.135045483611473
13,19.720486940389492,6.089850091418594,9.888386332482526
14,15.3614800339589,4.80509138747687,9.340542225132426
15,11.902982560811902,3.753830261929242,8.599328699564795
16,9.195793420243321,2.9145411214668138,7.756501376978542
17,7.094242378657173,2.2547421554431537,6.882194068289127
18,5.471060171211551,1.741051459439797,6.025619752747443
19,4.221010404313047,1.3435082176100759,5.218463079374858
20,3.259728945147576,1.0369450326223715,4.478927019575431
21,2.520837664030884,0.8009896983825696,3.8154688720957886
22,1.9527207198027148,0.6195144103930827,3.229873635263775
23,1.5155422479625882,0.4799278922823974,2.719616484339496
24,1.178704297194948,0.37248666176816664,2.2795945424794932
25,0.9187728057762202,0.2896933091362477,1.9033477082945895
26,0.7178288949563301,0.2257987476541922,1.5838874140745183
27,0.5621796326876093,0.17640322914586076,1.3142356610407688
28,0.44136067458064426,0.1381426945299036,1.0877562982420539
29,0.34737018169843714,0.10844528267888622,0.8983413502200879
30,0.2740831369027504,0.08534385674318946,0.7404990540152174
31,0.216804911223044,0.06733244035127862,0.6093774416027304
32,0.17193156516274366,0.05325666007734844,0.5007474863004208
33,0.13669157960209874,0.04223031314850383,0.4109625090514233
34,0.10894952259372422,0.03357189845087231,0.3369051883711123
35,0.08705673945897364,0.02675634907338826,0.27592967343493296
36,0.06973771162478412,0.02137831562669464,0.22580358351942237
37,0.05600346535620021,0.01712421625320776,0.1846527900534716
38,0.04508550047760507,0.01375093764453775,0.15091059134502047
39,0.03638529673204566,0.01106958285695741,0.12327203322308666
40,0.02943565816770492,0.00893305102851736,0.10065357481101764
41,0.02387106535906936,0.00722652937717433,0.08215795515528258
42,0.01940489216752449,0.00586020130537569,0.0670439169756043
43,0.01581186236923931,0.00476364330731383,0.05470034097181623
44,0.01291451310677631,0.00388151092904752,0.0446243045033836
45,0.01057272801709844,0.00317021037893608,0.03640257877683221
46,0.00867562665204905,0.00259532519462298,0.02969610295214084
47,0.00713526621599035,0.00212962243829262,0.02422701101980178
48,0.00588174007560661,0.00175150458329763,0.01976783077473043
49,0.00485935500834389,0.00144380486192602,0.01613251914500977
50,0.00402364331351044,0.00119284784081467,0.01316904170712293
