cycle,first(COVID_Maths).D
0,0.0
1,0.12703640981028375
2,0.45427431921854966
3,1.0929078906241054
4,2.271027643981516
5,4.283673599709094
6,7.388804105063663
7,11.64924341610516
8,16.857633966772656
9,22.622734759871918
10,28.52529582426217
11,34.226785329865585
12,39.50397756621392
13,44.23779301280198
14,48.38645273292021
15,51.95888031922936
16,54.99377746574544
17,57.54490497187935
18,59.671461394870505
19,61.432191414917895
20,62.88205356196899
21,64.07056573194667
22,65.04120521929838
23,65.83143971538144
24,66.47311013321745
25,66.99298658345349
26,67.41338687772983
27,67.75279202992051
28,68.02642247763826
29,68.24675727495355
30,68.42398989613412
31,68.56642100122602
32,68.68079221407618
33,68.77256676590405
34,68.84616349822501
35,68.90515067689967
36,68.95240565153499
37,68.99024579446913
38,69.02053548912674
39,69.0447732779232
40,69.06416266317589
41,69.07966949913114
42,69.09206842573704
43,69.10198037466158
44,69.10990282089367
45,69.1162341528078
46,69.12129328290592
47,69.1253354136983
48,69.1285647019413
49,69.13114442390899
50,69.13320512947318
