cycle,first(COVID_Maths).I,first(COVID_Maths).D
0,2.0,0.0
1,1.568682439790696,0.13998175420542858
2,2.7541976514857427,0.5270400104053006
3,4.947225302668621,1.3000850158382713
4,8.1677371628223,2.739542401429077
5,11.857369735751078,5.22168349910331
6,14.70799780003633,9.099482892904485
7,15.57964659629878,14.506396939799492
8,14.455601446419745,21.239437035585286
9,12.169351181368707,28.834658773616262
10,9.59358710179863,36.750551969242274
11,7.250655727916537,44.51751750178747
12,5.338091617210771,51.802132588621404
13,3.8684273245943945,58.408084342815414
14,2.7780602571539834,64.24874128779418
15,1.985599816889142,69.31409508395168
16,1.416482398715454,73.64211978982266
17,1.0104350756725677,77.29728566985153
18,0.7216440831896753,80.35579703915488
19,0.5164392609950059,82.89613513840128
20,0.3705479205156935,84.9934283488999
21,0.2666653895973928,86.71642722711714
22,0.1925305590580479,88.12617041611385
23,0.13948221903602767,89.27569675885529
24,0.10140808607423568,90.21036681689276
25,0.07399290220524073,90.9685075845767
26,0.05418595103332548,91.58219902576437
27,0.03982612758086453,92.07809196785446
28,0.02937871138585742,92.4781936860879
29,0.02175074877848536,92.80058765595169
30,0.01616152988792829,93.06007283715444
31,0.01205160853746698,93.26871926486675
32,0.00901877702443176,93.4363432648217
33,0.00677290566005124,93.5709090381338
34,0.00510400475661789,93.67886485267152
35,0.00385957309733208,93.76542240216864
36,0.00292848425407825,93.83478755186614
37,0.00222948799048453,93.89034999833191
38,0.00170297880816189,93.93483852875409
39,0.00130508432515659,93.9704476901329
40,0.00100340592979987,93.99894083916594
41,0.00077393994327549,94.02173377464219
42,0.00059884489818906,94.03996247117553
43,0.00046481719009767,94.05453783940477
44,0.00036190555146827,94.06618992976105
45,0.00028264305366915,94.07550356736598
46,0.0002214095936116,94.08294704580364
47,0.00017396220618165,94.08889520832368
48,0.00013708795695194,94.09364799773553
49,0.00010834664289636,94.09744535285375
50,0.00008587949075724,94.10047916273054
